Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
J A N U A R Y,6,Pachaikili Parimala,Madhubalan,"Damodaran, Sakthishree",Erotic,Sethu Medias,[13]
J A N U A R Y,6,Peiyena Peiyum Kurudhi,Sudhakar Shanmugam,"Jana, Seenivasan, Harish, Ganeshan, Robin",Thriller,Lion Hunters Productions,[14]
J A N U A R Y,6,Soorathengai,Sanjeev Srinivas Kanna,"Arvind Vinod, Eugina Samanthi, Theni Murugan",Action masala,Maruthi Films International,[15]
J A N U A R Y,6,Unnai Thottu Kolla Vaa,Krishnakumar,"Powerstar Srinivasan, Livingston, Ganja Karuppu",Horror,Kavibharathi Creations,[16]
J A N U A R Y,12,Bairavaa,Bharathan,"Vijay, Keerthy Suresh, Sathish, Jagapati Babu, Daniel Balaji",Action comedy,Vijaya Productions,[17]
J A N U A R Y,14,Koditta Idangalai Nirappuga,Parthiban,"Shanthanu Bhagyaraj, Parvatii Nair, Parthiban, Thambi Ramaiah",Comedy thriller,Reel Estate Company & Bioscope Film Frames,[18]
J A N U A R Y,20,Sivappu Enakku Pidikkum,Youreka,"Sandra Amy, Youreka",Drama,JSK Film Corporation & Youreka Film School,[19]
J A N U A R Y,26,Adhe Kangal,Rohin Venkatesan,"Kalaiyarasan, Sshivada, Janani Iyer, Bala Saravanan",Crime thriller,Thirukumaran Entertainment,[20]
F E B R U A R Y,2,Bogan,Lakshman,"Jayam Ravi, Arvind Swamy, Hansika Motwani, Varun, Akshara Gowda",Supernatural thriller,Prabhu Deva Studios,[21]
F E B R U A R Y,2,Enakku Vaaitha Adimaigal,Mahendran Rajamani,"Jai, Pranitha, Karunakaran, Kaali Venkat",Comedy,Vansan Movies,[22]
F E B R U A R Y,9,Si3,Hari,"Suriya, Shruti Haasan, Anushka Shetty, Thakur Anoop Singh",Action masala,Studio Green,[23]
F E B R U A R Y,10,Lightman,Kumar G. Venkatesh,"Karthik Nagarajan, Jennifer",Biographical,Studio18,[24]
F E B R U A R Y,10,Pragamiyam,Prathap,"Prathap, Parvathy, Subha",Drama,Steel Toe Productions,[25]
F E B R U A R Y,17,Ennodu Vilayadu,Arun Krishnaswami,"Bharath, Kathir, Chandini Tamilarasan, Sanchita Shetty",Thriller drama,Toronto Reels & Reyan Studios,[26]
F E B R U A R Y,17,Kadhal Kan Kattudhe,Shivaraj,"KG, Athulya, Aneeruth",Romance,Kovai Film Mates,[27]
F E B R U A R Y,17,Pagadi Aattam,Ram K. Chandran,"Rahman, Akhil, Gowri Nandha",Thriller,Bharani Movies & Marram Movies,[28]
F E B R U A R Y,17,Rum,Sai Bharath,"Hrishikesh, Sanchita Shetty, Narain, Miya",Horror,All In Pictures,[29]
F E B R U A R Y,24,Kanavu Variyam,Arun Chidambaram,"Arun Chidambaram, Jiya Shankar, Yog Japee",Drama,DCKAP Cinemas,[30]
F E B R U A R Y,24,Muthuramalingam,Rajadurai,"Gautham Karthik, Priya Anand, Napoleon",Action masala,Global Media Works,[31]
F E B R U A R Y,24,Yaman,Jeeva Shankar,"Vijay Antony, Miya, Thiagarajan",Political thriller,Lyca Productions & Vijay Antony Film Corporation,[32]
M A R C H,3,Kuttram 23,Arivazhagan,"Arun Vijay, Mahima Nambiar, Aravind Akash, Vamsi Krishna",Crime thriller,Ice Entertainment & Redan Studios,[33]
M A R C H,3,Mupparimanam,Adhirooban,"Shanthanu Bhagyaraj, Srushti Dange, Skanda Ashok",Romantic thriller,Shamayalaya Creations,[34]
M A R C H,3,Yaakkai,Kuzhandai Velappan,"Kreshna, Swathi Reddy, Prakash Raj, Guru Somasundaram",Romantic thriller,Prim Pictures,[35]
M A R C H,9,Motta Shiva Ketta Shiva,Sai Ramani,"Raghava Lawrence, Nikki Galrani, Sathyaraj, Ashutosh Rana",Action masala,Super Good Films,[36]
M A R C H,10,Maanagaram,Lokesh Kanagaraj,"Sundeep Kishan, Sri, Regina Cassandra, Ramdoss",Action thriller,Potential Studios,[37]
M A R C H,10,Nisabdham,Michael Arun,"Ajay, Abhinaya, Kishore, Sathanya",Drama,Miracle Pictures,[38]
M A R C H,17,Bruce Lee,Prashanth Pandiraj,"G. V. Prakash Kumar, Kriti Kharbanda, Bala Saravanan",Comedy,Kenanya Films & PK Film Factory,[39]
M A R C H,17,Kanna Pinna,Thiya Nair,"Thiya Nair, Anjali Rao, Shiva",Comedy,SS Big Cinemas & Mehak Production,[40]
M A R C H,17,Kattappava Kanom,Mani Seiyon,"Sibi Sathyaraj, Aishwarya Rajesh, Chandini Tamilarasan",Comedy,WindChimes Media Entertainments,[41]
M A R C H,17,Oru Mugathirai,R. Senthilnadan,"Rahman, Suresh, Aditi Gururaj",Thriller,Sree Sai Vignesh Studios,[42]
M A R C H,17,Vaanga Vaanga,N. P. Ismail,"Vicky, Shreya Sri, Niveditha, Powerstar Srinivasan, Appukutty",Horror comedy,Friends Pictures,[43]
M A R C H,24,1 A.M,Rahul,"Mohan, Sasvatha",Horror,RPM Cinemas & MPM Productions,[44]
M A R C H,24,465,Sai Sathyam,"Karthik Raj, Niranjana",Horror,LPS Films,[45]
M A R C H,24,Dhayam,Kannan Rangaswamy,"Santhosh Prathap, Jayakumar, Iraa Agarwal, Aanchal Singh",Thriller,Future Film Factory International,[46]
M A R C H,24,Enkitta Mothathe,Ramu Chellappa,"Natty, Rajaji, Sanchita Shetty, Parvathy Nair",Action masala,KV Films & Eros International,[47]
M A R C H,24,Kadugu,Vijay Milton,"Bharath, Rajakumaran, Subiksha, Radhika Prasidhha",Drama,Rough Note Production & Sakthi Film Factory,[48]
M A R C H,24,Paambhu Sattai,Adam Dasan,"Bobby Simha, Keerthy Suresh, Muktha",Action thriller,Manobala's Picture House & Cinema City,[49]
M A R C H,24,Vaigai Express,Shaji Kailas,"R. K., Neetu Chandra, Iniya, Komal Sharma",Crime thriller,Makkal Paasarai,[50]
M A R C H,31,Arasakulam,Kumar Maaran,"Rathan Mouli, Nayana Nair, Rajashree",Action masala,BR Sain Films,[51]
M A R C H,31,Attu,Rathan Linga,"Rishi Rithvik, Archana Ravi, Yogi Babu",Action drama,Studio 9 & Dream Icon Film Production,[52]
M A R C H,31,Dora,Doss Ramasamy,"Nayanthara, Sulile Kumar, Harish Uthaman, Thambi Ramaiah",Horror,A Sarkunam Cinemaz & Nemichand Jabak Productions,[53]
M A R C H,31,Kavan,K. V. Anand,"Vijay Sethupathi, Madonna Sebastian, T. Rajendar, Vikranth",Social thriller,AGS Entertainment,[54]
M A R C H,31,Naalu Peruku Nalladhuna Edhuvum Thappilla,Dinesh Selvaraj,"Karthik Raj, Shariya, Jagadeesh Kanna, Evansree",Action,Alpha Studios,[55]
M A R C H,31,Sevili,R. Ananth,"Arvind Roshan, Krithi Shetty, Shakeela",Romance,MKM Films,[56]
A P R I L,7,8 Thottakkal,Sri Ganesh,"Vetri, Aparna Balamurali, Nassar, M. S. Bhaskar",Crime thriller,Vetrivel Saravana Cinemas & Big Print Pictures Production & Sakthi Film Factory,[57]
A P R I L,7,Julieum 4 Perum,Satheesh Kumar,"Amudhavanan, George, Yoganand, Satheesh Kumar, Alya Mansa",Comedy,Sahana Studios,[58]
A P R I L,7,Kaatru Veliyidai,Mani Ratnam,"Karthi, Aditi Rao Hydari",Romance,Madras Talkies,[59]
A P R I L,7,Senjittale En Kadhala,Ezhil Durai,"Ezhil Durai, Madhumila, Abhinaya",Romance,SB Entertainment,[60]
A P R I L,7,Viruthachalam,Rathan Ganapathy,"Virudhagiri, Swetha, Sameera, Shireen Taha",Masala,Lakshmi Ammal Films,[61]
A P R I L,14,Kadamban,Ragavan,"Arya, Catherine Tresa, Deepraj Rana",Action,Super Good Films,[62]
A P R I L,14,Pa Paandi,Dhanush,"Rajkiran, Prasanna, Chaya Singh, Revathi",Drama,Wunderbar Films & K Productions,[63]
A P R I L,14,Shivalinga,P. Vasu,"Raghava Lawrence, Ritika Singh, Shakthi, Vadivelu",Horror masala,Trident Arts,[64]
A P R I L,21,Ilai,Binish Raj,"Swathy Narayanan, Jenish, Sujeeth",Drama,Action Reaction Productions,[65]
A P R I L,21,Nagarvalam,Marxx,"Yuthan Balaji, Deekshitha Manikkam, Bala Saravanan",Romantic thriller,Redcarpet Production,[66]
A P R I L,28,Ayyanar Veethi,Gipsy N. Rajkumar,"Yuvan, Sara Shetty, K. Bhagyaraj, Ponvannan, Chinchu Mohan",Drama,Sri Sai Shanmugar Pictures,[67]
A P R I L,28,Baahubali: The Conclusion,S. S. Rajamouli,"Prabhas, Anushka Shetty, Rana Daggubati, Sathyaraj",Fantasy,Arka Media Works & K Productions,[68]
M A Y,5,Aarambamae Attakasam,Ranga,"Lollu Sabha Jeeva, Sangeetha Bhat, Pandiarajan, Vaiyapuri",Romantic comedy,Swathi Film Circuit,[69]
M A Y,5,Enga Amma Rani,Baani,"Dhansika, Varnika, Varsha",Horror drama,MK Films,[70]
M A Y,11,Saaya,V. S. Pazhanivel,"Sonia Agarwal, Santhosh Khanna, Gayatri Rema",Horror drama,Amma Appa Cine Pictures,[71]
M A Y,12,Lens,Jayaprakash Radhakrishnan,"Jayaprakash Radhakrishnan, Misha Ghoshal, Aswathy Lal",Thriller drama,Grassroot Film Company & Mini Studio,[72]
M A Y,12,Mangalapuram,R. Gopal,"Yathavan, Gayathri, Delhi Ganesh, Ajay Rathnam",Horror drama,Sri Angalamman Movies,[73]
M A Y,12,Saravanan Irukka Bayamaen,Ezhil,"Udhayanidhi Stalin, Regina Cassandra, Soori, Srushti Dange",Comedy,Red Giant Movies,[74]
M A Y,12,Thirappu Vizha,K. G. Veeramani,"Jeya Anand, Manishajith, Manobala",Drama,Infar Films,[75]
M A Y,12,Yeidhavan,Sakthi Rajasekaran,"Kalaiyarasan, Satna Titus, Vela Ramamoorthy",Action thriller,Friends Festival Films,[76]
M A Y,19,Inayathalam,Shankar & Suresh,"Ganesh Venkatraman, Swetha Menon, Erode Mahesh",Crime thriller,Anugraha Art Films,[77]
M A Y,19,Indira Kobai,Vijay T. Alexander,"Raju, Asha Latha, Vikki",Drama,A Na Aayum Creations,[78]
M A Y,19,Keikraan Meikkiran,Sam Immanuel,"Sabapathy, Lughna Ameer, Aadukalam Naren",Romantic comedy,Aswika Creations,[79]
M A Y,19,Sangili Bungili Kadhava Thorae,Ike Radha,"Jiiva, Sri Divya, Soori, Raadhika",Horror comedy,Fox Star Studios & A for Apple Production,[80]
M A Y,19,Veera Vamsam,Bhagavathi Bala,"Selva, Anitha, Radha Ravi",Action masala,Sri Periya Nayagi Amman Films,[81]
M A Y,26,Brindavanam,Radha Mohan,"Arulnithi, Tanya, Vivek",Comedy drama,Vansan Movies,[82]
M A Y,26,Thondan,Samuthirakani,"Vikranth, Samuthirakani, Sunaina",Drama,Vasundara Devi Cine Films,[83]
J U N E,2,7 Naatkal,Gautham,"Shakthi, Nikesha Patel, Ganesh Venkatraman, Angana Roy",Crime thriller,Million Dollar Movies,[84]
J U N E,2,Bongu,Taj,"Natarajan Subramaniam, Ruhi Singh, Manisha Shree",Heist thriller,RT Infinity Deal Entertainment,[85]
J U N E,2,Munnodi,S. P. T. A. Kumar,"Harish, Yamini Bhaskar, Sijoy Varghese, Suja Varunee",Masala,Swastik Cine Vision,[86]
J U N E,2,Neethan Raja,Niranjan,"Niranjan, Gayathri, Leema",Drama,Ranjanee Cinemas,[87]
J U N E,2,Oru Iyakkunarin Kadhal Diary,Velu Prabhakaran,"Velu Prabhakaran, Pon Swathi",Romance,JK Studios,[88]
J U N E,2,Oru Kidayin Karunai Manu,Suresh Sangaiah,"Vidharth, Raveena Ravi",Comedy drama,Eros International,[89]
J U N E,2,Tubelight,Indra,"Indra, Adithi Krishna, Pandiarajan",Comedy,Ostrich Films,[90]
J U N E,2,Vilayattu Aarambam,"Vijay R. Anand, A. R. Surriyan","Yuvan, Shravya, Riyaz Khan, Srinivasan",Action thriller,Mag5 Studios,[91]
J U N E,9,Rangoon,Rajkumar Periasamy,"Gautham Karthik, Sana Makbul",Crime thriller,ARM Productions & Fox Star Studios,[92]
J U N E,9,Sathriyan,S. R. Prabhakaran,"Vikram Prabhu, Manjima Mohan, Aishwarya Dutta",Action drama,Sathya Jyothi Films,[93]
J U N E,15,Peechankai,Ashok,"R. S. Karthik, Anjali Rao, Vivek Prasanna, M. S. Bhaskar",Comedy,Karsa entertainment,[94]
J U N E,16,Maragadha Naanayam,A. R. K. Saravan,"Aadhi, Nikki Galrani",Fantasy adventure comedy,Axess Film Factory,[95]
J U N E,16,Thangaratham,P. Balamurugan,"Vettrii, Adithi Krishna, Rajendran, Aadukalam Naren",Drama,NTC Media & V Care Productions,[96]
J U N E,16,Uru,Vicky Anand,"Kalaiyarasan, Dhansika, Mime Gopi",Crime thriller,Vaiyam Medias,[97]
J U N E,16,Veruli,P. Amudhavanan,"Abhishek Vinod, Archana Singh, Bhagyaraj",Thriller drama,PG Media Works,[98]
J U N E,23,Anbanavan Asaradhavan Adangadhavan,Adhik Ravichandran,"Silambarasan, Tamannaah, Shriya Saran",Masala,Global Infotainment,[99]
J U N E,23,Salaam,Ravi Rahul,"Ravi Rahul, Sampath",Romantic drama,Ranjana Films,[100]
J U N E,23,Vanamagan,A. L. Vijay,"Jayam Ravi, Sayyeshaa Saigal, Prakash Raj, Varun",Action adventure,Think Big Studio & Kona Film Corporation,[101]
J U N E,30,Adhagappattathu Magajanangalay,Inbasekhar,"Umapathy Ramaiah, Reshma Rathore, Karunakaran",Comedy thriller,Silver Screen Studios,[102]
J U N E,30,Engeyum Naan Iruppen,Benny Thomas,"Prajin, Kala Kalyani",Romantic thriller,Liya Film Company,[103]
J U N E,30,Ivan Thanthiran,R. Kannan,"Gautham Karthik, Shraddha Srinath, RJ Balaji",Comedy drama,Masala Pix,[104]
J U N E,30,Ivan Yarendru Therikiratha,S. T. Suresh Kumar,"Vishnu, Varsha Bollamma, Ishaara Nair, K. Bhagyaraj",Romantic comedy,Own Cinemas,[105]
J U N E,30,Kaadhal Kaalam,G. A. Somasundhara,"Chandru, Nithya Shetty, Jangiri Madhumitha",Romantic drama,Tamil Kodi Films,[106]
J U N E,30,Yaanum Theeyavan,Prashanth G. Sekar,"Ashwin Jerome, Varsha Bollamma, Raju Sundaram",Crime thriller,Peppy Cinemas,[107]
J U N E,30,Yevanavan,Natty Kumar,"Akil, Nayana, Sonia Agarwal, Vincent Asokan",Crime drama,B & B Entertainments,[108]
J U L Y,14,Gemini Ganeshanum Suruli Raajanum,Odam Ilavarasu,"Atharvaa, Regina Cassandra, Aishwarya Rajesh, Pranitha, Aaditi Pohankar",Romantic comedy,Amma Creations,[109]
J U L Y,14,Niranjana,Pandi Arunachalam,"Kishore Dev, Bharadha Naidu, Gayathiri",Horror,Narendra Movies,[110]
J U L Y,14,Pandigai,Feroz,"Kreshna, Anandhi, Nithin Sathya",Action thriller,Tea Time Talks Production,[111]
J U L Y,14,Rubaai,M. Anbazhagan,"Chandran, Anandhi, Chinni Jayanth",Thriller drama,God Pictures,[112]
