Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
J U L Y,14,Thiri,S. Ashok Amritharaj,"Ashwin Kakumanu, Swathi Reddy, Jayaprakash, Karunakaran",Action drama,Oxygen Cinemas and Sea Shore Gold Productions,[113]
J U L Y,21,(88)Enbathettu,Madhan,"Madhan, Upasana RC, Jayaprakash, Daniel Balaji",Action drama,JK Movie Makers,[114]
J U L Y,21,Meesaya Murukku,Hiphop Tamizha,"Hiphop Tamizha, Aathmika, Vivek, RJ Vigneshkanth, Vijayalakshmi",Musical drama,Avni Movies,[115]
J U L Y,21,Paakanum Pola Irukku,S. P. Rajkumar,"Bharathan, Ansiba Hassan, Soori, Ganja Karuppu",Romantic comedy,FCS Creations,[116]
J U L Y,21,Savarikkadu,M. N. Krishnakumar,"Rajapandi, Renuka, Swathi Shanmugam, Soori",Thriller drama,Annai Teresa Films,[117]
J U L Y,21,Vikram Vedha,Pushkar-Gayathri,"R. Madhavan, Vijay Sethupathi, Varalaxmi Sarathkumar, Shraddha Srinath, Kathir",Crime thriller,YNOT Studios,[118]
J U L Y,21,Yentha Nerathilum,R. Muthukumar,"Ramakrishnan, Yashmith, Sandra Amy, Leema Babu",Horror thriller,Anjali Entertainment,[119]
J U L Y,28,Ilavatta Pasanga,J. Balashrinivasan,"Arun Kumar, Akshaya Priya, Powerstar Srinivasan, Nizhalgal Ravi",Romance,K.K.P Vela Films,
J U L Y,28,Kootathil Oruthan,T. J. Gnanavel,"Ashok Selvan, Priya Anand, Samuthirakani",Drama,Dream Warrior Pictures,[120]
J U L Y,28,Namma Kadha,Nova,"Kavithran, Bavisha, Crane Manohar",Drama,ISSKK Productions,[121]
J U L Y,28,Nibunan,Arun Vaidyanathan,"Arjun, Prasanna, Vaibhav, Varalaxmi Sarathkumar, Sruthi Hariharan",Crime thriller,Passion Film Factory,[122]
J U L Y,28,Puyala Kelambi Varom,Arumugam,"Thaman Kumar, Madhu Shri, R. N. R. Manohar, Singampuli",Romantic drama,Jayashree Movie Makers,[123]
J U L Y,28,Thappillama Oru Thappu,V. Hariharan,"Kavin Karthik, Alisha, Vani Shree",Adult comedy,Om Bhavani Creations,
J U L Y,28,Yen Intha Mayakkam,Shakthi Vasantha Prabhu,"Della Raj, Rajiv Kumar, Swarna",Romantic drama,Rainbow Creations,[124]
A U G U S T,4,Aakkam,Veludoss Gnanasamantham,"Sathish Ravan, Delna Davis, Powerstar Srinivasan",Masala,Aadhi Lakshmi Entertainers,[125]
A U G U S T,4,Sathura Adi 3500,Jaison,"Nikhil Mohan, Iniya, Rahman, Swathi Deekshith",Horror,Right Views Cinema,[126]
A U G U S T,4,Ullam Ullavarai,Vishnuhasan,"Shankar, Meenu Karthika, Ganja Karuppu",Horror,Indhuja Films,[127]
A U G U S T,11,Podhuvaga Emmanasu Thangam,Thalapathy Prabhu,"Udhayanidhi Stalin, Nivetha Pethuraj, Parthiepan, Soori",Comedy,Thenandal Studio Limited,[128]
A U G U S T,11,Taramani,Ram,"Vasanth Ravi, Andrea Jeremiah, Anjali",Romantic drama,Catamaran Productions,[129]
A U G U S T,11,Velaiilla Pattadhari 2,Soundarya Rajinikanth,"Dhanush, Kajol, Amala Paul",Masala,V Creations,[130]
A U G U S T,24,Thappattam,Mujibur Rahman,"Durai Sudhakar, Dona Rozario",Romantic drama,Moon Pictures,[131]
A U G U S T,24,Vivegam,Siva,"Ajith Kumar, Kajal Aggarwal, Vivek Oberoi, Akshara Haasan",Spy Thriller,Sathya Jyothi Films,[132]
A U G U S T,25,Adra Raja Adida,Rajiya Kirushna,"Rajiya Kirushna, Shree Hema, Shanmugavelu",Comedy,7 Force Cinemas,[133]
A U G U S T,25,Pannam Pathinonnum Seyum,Jaya Krishna,"Bharani, Alisha Khan, Yog Japee",Action,AJ Film,
S E P T E M B E R,1,Kurangu Bommai,Nithilan Swaminathan,"Bharathiraja, Vidharth, Delna Davis",Thriller drama,Shreya Sri Movies LLP,[134]
S E P T E M B E R,1,Oru Kanavu Pola,V. C. Vijayasankar,"Ramakrishnan, Amala Rose Kurian, Soundararaja",Romance,Iraivan Cine Creations,[135]
S E P T E M B E R,1,Puriyatha Puthir,Ranjit Jeyakodi,"Vijay Sethupathi, Gayathrie",Psychological thriller,Rebel Studio,[136]
S E P T E M B E R,8,Aaram Vetrumai,Hari Krishna,"Ajay, Gopika, Yogi Babu",Period,7th Sense Movie Makers,[137]
S E P T E M B E R,8,Gilli Bambaram Goli,D. Manoharan,"Prasath, Naresh, Tamil, Deepthi Shetty, Ganja Karuppu",Thriller,Visco Corner Entertainers,
S E P T E M B E R,8,Kadhal Kasakuthaiya,Dwarakh Raja,"Dhruvva, Venba, Charle",Romance,Etcetera Entertainment,[138]
S E P T E M B E R,8,Kathanayagan,Tha. Muruganantham,"Vishnu, Catherine Tresa, Soori",Comedy,Vishnu Vishal Studioz,[139]
S E P T E M B E R,8,Maaya Mohini,Raasavikram,"Abdullah, Sarika, Imman Annachi, K. R. Vijaya",Horror,Kannan Creations,[140]
S E P T E M B E R,8,Neruppu Da,Ashok Kumar,"Vikram Prabhu, Nikki Galrani, Varun",Action thriller,First Artist Chandra Arts,[141]
S E P T E M B E R,8,Thappu Thanda,Srikantan,"Sathya Murthi, Shweta Gai, John Vijay, Mime Gopi",Action,Clapboard Production,[142]
S E P T E M B E R,14,Thupparivaalan,Mysskin,"Vishal, Prasanna, Vinay, Andrea Jeremiah, Anu Emmanuel, Simran",Crime thriller,Vishal Film Factory,[143]
S E P T E M B E R,15,Kombay,Hafiz M. Ismail,"Charles Arun, Theertha, Miraj Bhaskar",Drama,Roshan Pictures,[144]
S E P T E M B E R,15,Magalir Mattum,Bramma,"Jyothika, Saranya, Urvashi, Bhanupriya",Drama,2D Entertainment,[145]
S E P T E M B E R,15,Yaar Ivan,Tatineni Satya,"Sachiin Joshi, Esha Gupta, Prabhu, Kishore",Action,Viiking Media and Entertainment,[146]
S E P T E M B E R,22,Aayirathil Iruvar,Saran,"Vinay, Samuthrika, Swasthika, Kesha Khambhati",Thriller,Saran Movie Factory,[147]
S E P T E M B E R,22,Bayama Irukku,Jawahar,"Santhosh Prathap, Reshmi Menon, Kovai Sarala",Horror,Vasantham Productions,[148]
S E P T E M B E R,22,Ka Ka Ka: Aabathin Arikuri,M. Manon,"Ashok, Meghashree, Sangeetha Bhat, Kiran Pathikonda",Horror,Arpita Creations,[149]
S E P T E M B E R,22,Kalavu Thozhirchalai,T. Krishna Shamy,"Kathir, Kushi, Vamsi Krishna, Kalanjiyam",Drama,MGK Movie Makers,[150]
S E P T E M B E R,22,Konjam Konjam,Udayasankaran,"Gokul, Neenu, Appukutty, Mansoor Ali Khan",Comedy,Mimosa Productions,[151]
S E P T E M B E R,22,Pichuva Kaththi,Ayappan,"Inigo Prabhakaran, Anisha Xavier, Sri Priyanka",Drama,Sri Annamalaiyar Movies,[152]
S E P T E M B E R,22,Theru Naaigal,Hari Uthra,"Pratheek, Akshatha Sreedhar, Appukutty, Mime Gopi",Action,Shree Bhuwal Movie Productions,[153]
S E P T E M B E R,22,Valla Desam,N. T. Nantha,"Anu Hasan, Nassar, Bala Singh, Jayapalan",Action,Lakxshanna Pictures,[154]
S E P T E M B E R,27,Spyder,AR Murugadoss,"Mahesh Babu, Rakul Preet Singh, S. J. Surya, Bharath",Action thriller,NVR Cinema,[155]
S E P T E M B E R,29,Hara Hara Mahadevaki,Santhosh P. Jayakumar,"Gautham Karthik, Nikki Galrani, Sathish, R. K. Suresh",Adult comedy,Studio Green & Thangam Cinemas,[156]
S E P T E M B E R,29,Karuppan,R. Panneerselvam,"Vijay Sethupathi, Bobby Simha, Tanya Ravichandran",Action masala,Shree Sai Raam Creations,[157]
S E P T E M B E R,29,Neri,Bhagavathi Bala,"Mohan Kumar, Shriya Sri, K Raj Baskar, Bayilvan Ranganathan",Drama,Amoga Film Makers,[158]
O C T O B E R,5,Solo,Bejoy Nambiar,"Dulquer Salmaan, Sai Dhanshika, Neha Sharma, Sruthi Hariharan, Arthi Venkatesh",Anthology,Getaway Films & Refex Entertainment,[159]
O C T O B E R,18,Chennaiyil Oru Naal 2,JPR,"Sarathkumar, Napoleon, Ajay",Crime thriller,Kalpatru Pictures,[160]
O C T O B E R,18,Mersal,Atlee,"Vijay, Kajal Aggarwal, Samantha, Nithya Menen, S. J. Suryah",Action thriller,Sri Thenandal Films,[161]
O C T O B E R,18,Meyaadha Maan,Rathna Kumar,"Vaibhav, Priya Bhavani Shankar, Vivek Prasanna",Romantic comedy,Stone Bench Creations,[162]
O C T O B E R,27,Kadaisi Bench Karthi,Ravi Bhargavan,"Bharath, Ruhani Sharma, Angana Roy",Comedy,Rama Reels,[163]
O C T O B E R,27,Kalathur Gramam,Saran K. Adwaithan,"Kishore, Yagna Shetty, Sulile Kumar",Drama,AR Movie Paradise,[164]
N O V E M B E R,3,Aval,Milind Rau,"Siddharth, Andrea Jeremiah, Anisha Victor",Horror,Etaki Entertainment & Viacom 18 Motion Pictures,[165]
N O V E M B E R,3,Azhagin Bommi,R. K. Vijayakumar,"Vijay Kailash, Sunvika, Singamuthu",Drama,Unimac Creations,[166]
N O V E M B E R,3,Thittivasal,M. Prathapmuraali,"Mahendran, Thanu Shetty, Vinod, Nassar",Drama,K3 Cine Creations,[167]
N O V E M B E R,3,Uruthikol,R. Ayyanar,"Kishore, Megana, Kaali Venkat",Action,Jai Sneham Films,[168]
N O V E M B E R,3,Vizhithiru,Meera Kathiravan,"Kreshna, Vidharth, Venkat Prabhu, Sai Dhanshika, Abhinaya, Erica Fernandes",Crime thriller,Mainstream Cinema Productions,[169]
N O V E M B E R,9,Ippadai Vellum,Gaurav Narayanan,"Udhayanidhi Stalin, Manjima Mohan, R. K. Suresh, Daniel Balaji",Action thriller,Lyca Productions,[170]
N O V E M B E R,10,143,Rishi,"Rishi, Priyanka Sharma, Vijayakumar, Mahadevan",Romance,Eye Talkies,[171]
N O V E M B E R,10,Aramm,Minjur Gopi,"Nayanthara, Ramachandran Durairaj, Sunu Lakshmi",Social thriller,KJR Studios,[172]
N O V E M B E R,10,Nenjil Thunivirundhal,Suseenthiran,"Sundeep Kishan, Vikranth, Mehreen Pirzada",Action thriller,Annai Film Factories,[173]
N O V E M B E R,10,Rukku,Babu Radhakrishnan,"Babu Radhakrishnan, Rukku",Horror,Hoyasala Films,[174]
N O V E M B E R,10,Tharisu Nilam,Vedhaji Pandian,"Arun Thiyagu, Joshika Meera, Kovai Senthil",Drama,Sri Ranga Movies,[175]
N O V E M B E R,17,En Aaloda Seruppa Kaanom,K. P. Jagan,"Anandhi, Tamizh, Yogi Babu, Singampuli",Comedy,Drumsticks Productions,[176]
N O V E M B E R,17,Mecheri Vana Bhadrakali,K. M. Anandhan,"Seetha, Delhi Ganesh, Saravanan, Boomiga",Devotional,Sri Kalaivani Movies & JMP International,[177]
N O V E M B E R,17,Soora Kaathu,Nandha Kumar,"Nandha Kumar, Leema Babu, Saravana Sakthi",Horror,Shri Win Movies,[178]
N O V E M B E R,17,Theeran Adhigaaram Ondru,H. Vinoth,"Karthi, Rakul Preet Singh, Abhimanyu Singh",Action thriller,Dream Warrior Pictures,[179]
N O V E M B E R,24,Aangila Padam,Kumaresh Kumar,"Ramki, Sanjeev, Meenakshi, Sreeja Das",Horror Comedy,RJ Media Creations,[180]
N O V E M B E R,24,Guru Uchaththula Irukkaru,B. Dhandapani,"Guru Jeeva, Aara, Pandiarajan, M. S. Bhaskar",Comedy,Best Movies,[181]
N O V E M B E R,24,Idam Porul Aavi,Navaneeth,"Tilak Shekhar, Rohith, Anisha Ambrose",Horror,VPS Brothers Productions,
N O V E M B E R,24,Indrajith,Kalaprabhu,"Gautham Karthik, Sonarika Bhadoria, Ashrita Shetty, Sudanshu Pandey",Action adventure,V Creations,[182]
N O V E M B E R,24,Laali,Aarupadaiyappan,"Tej Charanraj, Shivani, Krishna Kumar, Manobala",Horror,Aarupadai Movie Makers,[183]
N O V E M B E R,24,Veeraiyan,S. Fareed,"Inigo Prabhakaran, Shiny, Vela Ramamoorthy, Aadukalam Naren",Action,Fara Sara Films,[184]
N O V E M B E R,24,Yaazh,M. S. Anand,"Vinoth Kishan, Sashikumar Subramani, Daniel Balaji, Misha Ghoshal, Leema Babu",Drama,Mystic Films,[185]
N O V E M B E R,30,Annadurai,G. Srinivasan,"Vijay Antony, Diana Champika, Mahima, Jewel Mary",Action drama,R Studios & Vijay Antony Film Corporation,[186]
N O V E M B E R,30,Thiruttu Payale 2,Susi Ganeshan,"Bobby Simha, Prasanna, Amala Paul, Sanam Shetty",Thriller drama,AGS Entertainment,[187]
D E C E M B E R,7,Kodiveeran,M. Muthiah,"Sasikumar, Vidharth, Mahima Nambiar, Poorna, Sanusha",Action drama,Company Productions,[188]
D E C E M B E R,8,12-12-1950,Selva,"Selva, Thambi Ramaiah, John Vijay, Ramesh Thilak",Comedy,Jyo Star Enterprises,[189]
D E C E M B E R,8,Richie,Gautham Ramachandran,"Nivin Pauly, Natarajan Subramaniam, Shraddha Srinath",Crime thriller,Cast N' Crew & Yes Cinema Company,[190]
D E C E M B E R,8,Sathya,Pradeep Krishnamoorthy,"Sibi Sathyaraj, Remya Nambeesan, Varalaxmi Sarathkumar",Crime thriller,Naathambal Film Factory,[191]
D E C E M B E R,8,Sol,Vijaya Bavannan,"Vijaya Bavannan, Anjana Raj",Drama,Semmozhi Kalaikkudil,[192]
D E C E M B E R,14,Maayavan,C. V. Kumar,"Sundeep Kishan, Lavanya Tripathi, Jackie Shroff",Action drama,Thirukumaran Entertainment,[193]
D E C E M B E R,15,Aruvi,Arun Prabu Purushothaman,"Aditi Balan, Lakshmi Gopalswami, Shwetha Shekar",Social drama,Dream Warrior Pictures,[194]
D E C E M B E R,15,Brahma.com,P. S. Vijayakumar,"Nakul, Ashna Zaveri, Neetu Chandra",Comedy,Ganesh Dream Factory,[195]
D E C E M B E R,15,Chennai 2 Singapore,Abbas Akbar,"Gokul Anand, Rajesh Balachandiran, Anju Kurian",Romantic comedy,Media Development Authority,[196]
D E C E M B E R,15,Kida Virundhu,Thamizh Selvan,"Prakash, Shalini, G. M. Kumar, Ganja Karuppu",Drama,KPN Films,[197]
D E C E M B E R,15,Palli Paruvathile,Vasudev Bhaskar,"Nandanram Narayanan, Venba, R. K. Suresh, Urvashi",Drama,Connect Film Media,[198]
D E C E M B E R,22,Sakka Podu Podu Raja,Sethuraman,"Santhanam, Vaibhavi Shandilya, Vivek",Comedy,VTV Productions,[199]
D E C E M B E R,22,Velaikkaran,Mohan Raja,"Sivakarthikeyan, Fahadh Faasil, Nayanthara, Prakash Raj, Sneha",Thriller,24AM Studios,[200]
D E C E M B E R,22,Imai,Vijay K Mohan,"Sarish, Akshya Priya",Action drama,J & B Family Productions,[201]
D E C E M B E R,29,Balloon,Sinish,"Jai, Anjali, Janani Iyer",Horror,70mm Entertainment & Farmer's Master Plan Productions,[202]
D E C E M B E R,29,Kalavaadiya Pozhuthugal,Thangar Bachan,"Prabhu Deva, Bhumika Chawla, Prakash Raj",Drama,Ayngaran International,[203]
D E C E M B E R,29,Sangu Chakkaram,Maarison,"Dhilip Subbarayan, Geetha, Raja, Pradeep",Horror comedy,Cinemawala Pictures & Leo Visions,[204]
D E C E M B E R,29,Ulkuthu,Caarthick Raju,"Dinesh, Nandita Swetha, Dhilip Subbarayan, Bala Saravanan",Action,PK Film Factory,[205]
